,NIC5digitId,BENGALURU (RURAL),Activity
414,23955,49,Manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering
415,23956,3,"Manufacture of insulation boards of vegetable fibre, straw or wood waste, agglomerated with cement & other mineral binders."
416,23959,18,Manufacture of other cement and asbestos cement products n.e.c.
417,23960,33,"Cutting, shaping and finishing of stone"
418,23991,2,Manufacture of worked mica and mica products
419,23992,4,Manufacture of gypsum boards
420,23993,13,"Manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material"
421,23994,7,Manufacture of graphite products other than electrical articles
422,23999,28,"Manufacture of other non-metallic mineral products n.e.c. (includes asbestos yarn and fabric, and articles of asbestos yarn and fabric such as clothing, headgear, footwear, cord, string, paper o felt; friction material with a basis of asbestos or other mineral substances or of cellulose including unmounted articles such as friction material; mineral insulating material (slag wool, rockwool and similar mineral wools, exfoliated vermiculite, expanded clays and similar insulating material); products of glass wool for heat-insulating; articles of asphalt or of similar material (e.g. coal tar pitch), gypsum and articles of other mineral substances)"
423,24101,13,"Manufacture of pig iron and spiegeleisen in pigs, blocks or othter primary forms"
424,24102,4,Manufacture of direct reduction of iron(sponge iron) and other spongy ferrous products
425,24103,64,"Manufacture of steel in ingots or other primary forms, and other semi-finished products of steel"
426,24104,25,Manufacture of ferro-alloys
427,24105,33,Manufacture of hot -rolled and cold-rolled products of steel
428,24106,49,Manufacture of tube and tube fittings of basic iron and steel
429,24107,5,Manufacture of railway track materials (unassembled rails) of steel
430,24108,26,Manufacture of wire of steel by cold drawing or stretching
431,24109,395,Manufacture of other basic iron and steel n.e.c
432,24201,19,"Manufacture of Copper from ore, and other copper products and alloys"
433,24202,72,Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys
434,24203,8,"Manufacturing of lead, Zinc and tin products and alloys"
435,24204,1,"Manufacturing of chrome,manganese and nickel products alloys"
436,24205,42,"Production and refining of precious metals (such as gold, silver platinum etc.) and alloys"
437,24209,38,Manufacture of other non-ferrous metals n.e.c
438,24311,71,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/ cast-steel"
439,24319,146,Manufacture of other iron and steel casting and products thereof
440,24320,70,Casting of non-ferrous metals
441,25111,129,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings"
442,25112,71,"Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts, trusses, bridges etc.)"
443,25113,73,"Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment etc.)"
444,25119,220,Manufacture of other structural metal products
445,25121,8,Manufacture of metal containers for compressed or liquefied gas
446,25122,46,"Manufacture of metal reservoirs, tanks and similar containers"
447,25123,12,Manufacture of central heating boilers and radiators and parts and accessories thereof
448,25129,14,Manufacture of other containers n.e.c.
449,25131,16,Manufacture of steam or other vapour generating boilers and hot water boilers other than central heating boilers
450,25132,1,"Manufacture of nuclear reactors, except isotope separators"
451,25133,8,"Manufacture of auxiliary plant for use with steam generators (condensers, economizers, superheaters, steam collectors and accumulators)"
452,25139,7,"Manufacture of other steam generators (except central heating hot water boilers), n.e.c."
453,25200,4,Manufacture of weapons and ammunition
454,25910,118,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
455,25920,139,Machining; treatment and coating of metals
456,25931,18,"Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers,razors, razor blades, scissors, hair clippers etc."
457,25932,16,Manufacture of hand tools (non-power-driven) for agricultural/horticulture/forestry
458,25933,98,"Manufacture of hand tools such as pliers, screwdrivers, press tools,blacksmiths’ tools, drills, punches, milling cutters etc."
459,25934,32,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for buildings, furniture, vehicles etc."
460,25939,60,"Manufacture of general hardware (saws and sawblades, including circular sawbl ades and chainsaw blades, moulding boxes, vices, clamps etc.)"
461,25991,135,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers and similar non-threaded products and nuts, bolts, screws and other threaded products)"
462,25992,12,Manufacture of containers such as tins and cans for food products and boxes
463,25993,19,Manufacture of metal cable and other articles made of wire (except for electric transmission)
464,25994,97,"Manufacture of metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand-operated kitchen appliances and accessories)"
465,25995,8,"Manufacture of metal sanitaryware such as baths, sinks, washbasins and similar articles"
466,25996,34,"Manufacture of reinforced safes, vaults, strongroom doors, gates and metal goods for office use (other than office furniture) and other purposes"
467,25999,870,Manufacture of other fabricated metal products n.e.c.
468,26101,42,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers (electronic) and similar components"
469,26102,10,"Manufacture of electron tubes, diodes, transistors and related discrete devices"
470,26103,27,"Manufacture of integrated circuits (analog, digital or hybrid)"
471,26104,53,"Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems)"
472,26105,25,"Manufacture of display components (plasma, polymer, LCD, LED)"
473,26106,14,"Manufacture of printer cables, monitor cables, USB cables, connectors etc."
474,26107,8,Manufacture of microprocessors
475,26109,112,Manufacture of other electronic components n.e.c
476,26201,67,"Manufacture of desktop computers, laptop computers, hand-held computers (e.g. PDA), mainframe computers and computer servers"
477,26202,9,"Manufacture of magnetic and optical storage devices such as magnetic disk drives, flash drives, CD, DVD and other storage devices"
478,26203,11,"Manufacture of monitors, keyboards, all types of mice, joysticks, and trackball accessories, dedicated computer terminals etc."
479,26204,29,"Manufacture of printers, scanners, including bar code scanners, smart card readers, virtual reality helmets, computer projectors (video beamers)"
480,26205,11,"Manufacture of computer terminals, like automatic teller machines (ATM’s),point-of-sale (POS) terminals not mechanically operated"
481,26209,56,Manufacture of computers and peripheral equipment n.e.c.
482,26301,30,"Manufacture of radio and television studio and broadcasting equipment, including television cameras"
483,26302,2,"Manufacture of telephone and facsimile equipment, including telephone answering machines, PBX"
484,26303,13,"Manufacture of data communications equipment, such as bridges, routers, and gateways"
485,26304,8,"Manufacture of cable television equipment, transmitting and receiving antenna including dish, VSAT"
486,26305,66,"Manufacture of pagers, cellular phones and other mobile communication equipment"
487,26309,34,Manufacture of other communication equipments n.e.c.
488,26401,19,"Manufacture of televisions, television monitors and displays"
489,26402,1,Manufacture video cassette recorders and duplicating equipment
490,26403,7,Manufacture of audio recording and duplicating systems
491,26404,2,Manufacture of radio receivers
492,26405,26,"Manufacture of stereo equipment, speaker systems, amplifiers for musical instruments and public address systems, microphones, karaoke machines, headphones (e.g. radio, stereo, computer)"
493,26406,1,Manufacture of CD and DVD players
494,26409,74,Manufacture of other electronic consumer goods n.e.c. (this includes non- television video camera)
495,26511,11,Manufacture of physical properties testing and inspection equipment
496,26512,9,Manufacture of automotive emissions testing equipment
497,26513,9,"Manufacture of consumption meters for electricity, water or gas, flow meters and counting meters"
498,26514,2,Manufacture of meteorological instruments
499,26515,24,"Manufacture of radar equipment, GPS devices, search, detection, navigation, aeronautical and nautical equipment"
500,26516,33,"Manufacture of laboratory analytical instruments and miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators etc."
501,26517,37,Manufacture of industrial process control equipment
502,26519,21,Manufacture of other measuring n.e.c.
503,26521,3,"Manufacture of watches and clocks, including instrument panel clocks (except time-recording equipment)"
504,26522,9,"Manufacture of components for clocks and watches (springs, jewels, dials, hands, plates, bridges and other parts); watch and clock cases, including cases of precious metals"
505,26523,1,"Manufacture of time-recording equipments such as time-clock, parking meters etc."
506,26529,1,Manufacture of other watches and clocks n.e.c.
507,26600,15,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
508,26700,35,Manufacture of optical instruments and equipment
509,26800,11,Manufacture of magnetic and optical media
510,27101,51,"Manufacture of power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator set units)"
511,27102,104,"Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators"
512,27103,41,Manufacture of electric motors (except internal combustion engine starting motors)
513,27104,189,"Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. switches, fuses, voltage limiters, surge suppressors, junction boxes etc.) for a voltage exceeding 1000 volts; similar apparatus (including relays, sockets etc.) for a voltage not exceeding 1000 volts; boards, panels, consoles, cabinets and other bases equipped with two or more of the above apparatus for electricity control or distribution of electricity including power capacitors.)"
514,27201,66,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material"
515,27202,22,"Manufacture of electric accumulator incuding parts thereof (separators, containers, covers)"
516,27310,13,Manufacture of fibre optic cables for data transmission or live transmission of images
517,27320,100,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)"
518,27331,18,"Manufacture of switch, switch box, lamp holders, lugs etc."
519,27339,24,Manufacture of other wiring devices and fittings n.e.c.
520,27400,146,Manufacture of electric lighting equipment
521,27501,21,"Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc."
522,27502,15,"Manufacture of domestic electrothermic appliances such as electric water heaters, space heaters, irons, ovens, toasters, microwave ovens etc"
523,27503,14,Manufacture of electric fans (except exhaust fans)
524,27504,14,"Manufacture of domestic non-electric cooking and heating equipment such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers"
525,27509,31,Manufacture of other domestic appliances n.e.c.
526,27900,383,Manufacture of other electrical equipment
527,28110,37,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
528,28120,26,Manufacture of fluid power equipment
529,28131,10,Manufacture of hand pumps
530,28132,136,"Manufacture of other pumps, compressors, taps and valves etc."
531,28140,90,"Manufacture of bearings, gears, gearing and driving elements"
532,28150,33,"Manufacture of ovens, furnaces and furnace burners"
533,28161,29,"Manufacture of lifts, escalators and moving walkways"
534,28162,61,Manufacture of other lifting and handling equipment and parts thereof
535,28170,84,Manufacture of office machinery and equipment
536,28180,42,Manufacture of power-driven hand tools
537,28191,18,"Manufacture of refrigerating or freezing equipment f industrial use, including assemblies of major components"
538,28192,23,"Manufacture of air-conditioning machines, including motor vehicles air- conditioners"
539,28193,27,"Manufacture of fire extinguishers and other equipment for projecting, dispersing or spraying liquids or powders whether or not hand-operated, including sand blasting machines, stream cleaning machines etc."
540,28194,16,Manufacture of weighing machinery (other than sensitive laboratory balances)
541,28195,36,Manufacture of filtering and purifying machinery or apparatus for liquids and gases
542,28199,160,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines other than for metals or glass; gaskets and similar joints made of a combination of materials or layers of the same material and other general purpose machinery including manufacture of parts and accessories for general purpose machinery and equipment.)"
543,28211,8,Manufacture of tractors used in agriculture and forestry
544,28212,13,"Manufacture of ploughs, manure spreaders, seeders, harrows and similar agricultural machinery for soil preparation, planting or fertilizing, harvesting or threshing machinery"
545,28213,9,Manufacture of spraying machinery for agricultural use
546,28219,23,Manufacture of other agricultural and forestry machinery n.e.c.
547,28221,529,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc."
548,28222,15,Manufacture of electroplating machinery
549,28223,115,Manufacture of parts and accessories for the machine tools listed above
550,28229,84,Manufacture of metal-forming machinery and machine tools n.e.c
551,28230,16,Manufacture of machinery for metallurgy
552,28241,9,Manufacture of continuous-action elevators and conveyors for underground use
553,28242,11,"Manufacture of boring, cutting, sinking and tunnelling machinery (whether or not for underground use)"
554,28243,17,"Manufacture of earth-moving machinery (bulldozers, angle-dozers, graders, scrapers, levellers, mechanical shovels, shovel loaders, off-road dumping trucks etc.)"
555,28244,1,Manufacture of tracklaying tractors and tractors used in construction or mining
556,28245,12,"Manufacture of concrete and mortar mixers, piledrivers and pile-extractors, mortar spreaders, bitumen spreaders, concrete surfacing machinery"
557,28246,14,Manufacture of parts and accessories for machinery/equipment used by construction and mining industries
558,28249,9,"Manufacture of other machinery for mining, quarrying and construction n.e.c."
559,28251,8,Manufacture of machinery for the dairy industry
560,28252,3,Manufacture of machinery for the grain milling industry
561,28253,10,"Manufacture of presses, crushers etc. used to make wine, cider, fruit juices etc."
562,28254,3,"Manufacture of machinery for the bakery industry or for making macaroni, noodles, pasta etc."
563,28255,0,Manufacture of machinery for the extraction or preparation of animal or vegetable fats or oils
564,28256,0,"Manufacture of machinery for the preparation of tobacco and for the making of cigarettes or cigars, or for pipe or chewing tobacco or snuff"
565,28259,33,Manufacture of other machinery for the industrial preparation or manufacture of food or drink n.e.c. (including tea or coffee making machines)
566,28261,4,"Manufacture of machinery for preparation of textile fibers, spinning machines, machines for preparing textile yarns, weaving machines (looms), including hand looms, knitting machines"
567,28262,1,Manufacture of textile printing machinery
568,28263,13,"Manufacture of machinery for washing, bleaching, dyeing, dressing, finishing coating or impregnating textile fabrics, machines for reeling, unreeling, folding, cutting or pinking textile fabrics, and similar machinery for fabric processing"
569,28264,28,"Manufacture of ironing machines, commercial washing and drying machines, dry-cleaning machines and other laundry machinery"
570,28265,9,"Manufacture of sewing machines, sewing machine heads and sewing machine needles (whether or not for household use)"
571,28266,2,"Manufacture of machinery for preparing, tanning or working hides, skins or leather, machinery for making or repairing footwear or other articles of hides, skins, leather or fur skins"
572,28269,1,"Manufacture of other machinery for textiles, apparel and leather production n.e.c."
573,28291,6,"Manufacture of machinery for making paper pulp, paper, paperboard and articles of paper board"
574,28292,17,Manufacture of machinery for working soft rubber or plastics or for the manufacture of products of these materials
575,28293,20,Manufacture of printing and bookbinding machines and machines for activities supporting printing on a variety of materials (other than textiles)
576,28299,382,Manufacture of other special-purpose machinery n.e.c.
577,29101,13,Manufacture of passenger cars
578,29102,10,"Manufacture of commercial vehicles such as vans, lorries, over-the-road tractors for semi-trailers etc."
579,29103,9,Manufacture of chassis fitted with engines for the motor vehicles included in this class
580,29104,11,Manufacture of motor vehicle engines
581,29109,40,Manufacture of motor vehicles n.e.c
582,29201,18,"Manufacture of bodies, including cabs for motor vehicles"
583,29202,41,Manufacture of trailers and semi-trailers for transport of goods or passengers
584,29209,18,Manufacture of other attachments to motor vehicles n.e.c.
585,29301,466,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering olumns and steering boxes etc."
586,29302,65,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors, bumpers"
587,29303,11,Manufacture of car seats
588,29304,79,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs, ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels, voltage regulators, etc"
589,30111,16,"Building of commercial vessels: passenger vessels, ferry-boats, cargo ships, tankers, tugs, hovercraft (except recreation-type hovercraft) etc."
590,30112,4,Building of warships and scientific investigation ships etc.
591,30113,10,Building of fishing boats and fish-processing factory vessels
592,30114,4,Construction of floating or submersible drilling platforms
593,30115,14,"Construction of floating structures ( floating docks, pontoons, coffer-dams, floating landing stages, buoys, floating tanks, barges, lighters, floating cranes, non-recreational inflatable rafts etc.)"
594,30120,3,Building of pleasure and sporting boats
595,30201,3,"Manufacture of electric, diesel, steam and other rail locomotives"
596,30202,4,"Manufacture of self-propelled railway or tramway coaches, vans and trucks, maintenance or service vehicles"
597,30203,12,"Manufacture of railway or tramway rolling stock, not self-propelled (passenger coaches, goods vans tank wagons, self-discharging vans and wagons, workshop vans, crane vans, tenders etc."
598,30204,14,"Manufacture of specialized parts of railway or tramway locomotives or of rolling stock (bogies, axles and wheels, brakes and parts of brakes; hooks and coupling devices, buffers and buffer parts; shock absorbers; wagon and ocomotive frames; bodies; corridor connections etc.)"
599,30205,14,"Manufacture of mechanical and electro-mechanical signalling safety and traffic control equipment for railways, tramways, inland waterways, roads, parking facilities, airfields etc."
600,30206,2,Manufacture of mining locomotives and mining rail cars
601,30301,5,Manufacture of airplanes
602,30302,3,Manufacture of helicopters
603,30303,6,"Manufacture of gliders, hang-gliders, dirigibles and hot air balloons and other non-powered aircraft"
604,30304,10,"Manufacture of spacecraft and launch vehicles, satellites, planetary probes,orbital stations, shuttles, intercontinental ballistic (ICBM) and similar missiles"
605,30305,17,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles, airscrews, helicopter rotors and propelled rotor blades, motors and engines of a kind typically found on aircraft, parts of turbojets and turbopropellers for aircraft, aircraft seats etc. and other specialised parts of spacecraft)"
606,30400,0,Manufacture of weapons and ammunition
607,30911,10,"Manufacture of motorcycles, scooters, mopeds etc. and their engine"
608,30912,6,Manufacture of three-wheelers and their engine
609,30913,33,Manufacture of parts and accessories of three wheelers and motorcycles including side cars
610,30921,13,"Manufacture of non-motorized bicycles and other cycles, including cycle-rickshaws, (delivery) tricycles, tandems, children’s bicycles and tricycles, baby carriages"
611,30922,4,Manufacture of invalid carriages with or without motor
612,30923,13,"Manufacture of parts and accessories for bicycles, cycle -rickshaws and invalid carriages"
613,30991,7,Manufacture of vehicles drawn by animals
614,30999,57,"Manufacture of other transport equipments n.e.c. such as pushcarts, handcarts etc"
615,31001,325,Manufacture of furniture made of wood
616,31002,14,Manufacture of furniture made of cane & reed
617,31003,78,Manufacture of furniture primarily of metal
618,31004,24,Manufacture of furniture primarily of plastic
619,31005,46,Manufacture of mattresses and pillows
620,31009,189,Manufacture of other furniture n.e.c.
621,32111,430,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials"
622,32112,28,Working of diamonds and other precious and semi-precious stones including the working of industrial quality stones and synthetic or reconstructed precious or semi-precious stones
623,32113,7,Production of worked pearls
624,32114,6,"Manufacture of coins, including coins for use as legal tender, whether or not of precious metal"
625,32119,130,"Manufacture of other articles of gold, silver and other precious and semi precious metal and stone"
626,32120,83,Manufacture of imitation jewellery and related articles
627,32201,1,Manufacture of stringed instruments (non-electronic)
628,32202,0,"Manufacture of wind instruments, accordions, harmonium and similar instruments and mouth organs"
629,32203,1,Manufacture of percussion musical instruments
630,32204,4,"Manufacture of musical instruments, the sound of which is produced electronically"
631,32209,4,Manufacture of other musical instruments n.e.c.
632,32300,39,Manufacture of sports goods
633,32401,34,Manufacture of dolls and toy animals
634,32402,8,"Manufacture of wheeled toys designed to be ridden, including plastic bicycles and tricycles"
635,32403,4,"Manufacture of pin-tables, coin-operated games, billiards, special tables for casino games, etc."
636,32404,8,Manufacture of playing cards
637,32405,9,Manufacture of electronic games
638,32409,52,Manufacture of other games and toys n.e.c
639,32501,26,"Manufacture of dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations; manufacture of dental laboratory furnaces, dental instruments, artificial teeth, bridges, etc., made in dental labs"
640,32502,34,"Manufacture of laboratory apparatus (laboratory ultrasonic cleaning machinery, laboratory sterilizers, laboratory type distilling apparatus, laboratory centrifuges etc.)"
641,32503,74,"Manufacture of medical, surgical, dental or veterinary furniture such as operating tables, examination tables, dentists’ chairs etc."
642,32504,9,"Manufacture of bone plates and screws, syringes, needles, catheters, cannulae, etc."
643,32505,18,Manufacture of measuring instruments suc as thermometers etc.
644,32506,17,Manufacture of orthopedic and prosthetic devices
645,32507,31,"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles etc."
646,32509,73,Manufacture of other medical and dental instruments n.e.c.
647,32901,106,"Manufacture of stationary articles such as pens and pencils of all kinds whether or not mechanical, pencil leads, date, sealing or numbering stamps, hand-operated devices for printing or embossing labels, hand printing sets, prepared typewriter ribbons and inked pads, globes etc."
648,32902,93,"Manufacture of protective safety equipment (fire-resistant and protective safety clothing, linemen’s safety belts and other belts for occupational use, cork life preservers, plastics hard hats and other personal safety equipment of plastics, fire-fighting protection suits, metal safety headgear and other metal personal safety devices, gas masks etc.)"
649,32903,10,"Manufacture of umbrellas, sun-umbrellas, walking sticks, seat-stick"
650,32904,19,"Manufacture of articles of personal use such as cigarette lighters, smoking pipes, combs, hair slides, scent sprays, vacuum flasks and other vacuum vessels for personal or household use, wigs, false beards, eyebrows etc."
651,32909,1504,Manufacture of other articles n.e.c.
652,33111,66,Repair and maintenance of structural products
653,33112,109,Repair and maintenance of pipes and pipelines
654,33113,33,"Repair and maintenance of metal tanks, reservoirs, containers, steel shipping drums etc."
655,33114,23,"Repair and maintenance of steam or other vapour generators and auxiliary plant for use with steam generators such as condensers, economizers, superheaters, steam collectors and accumulators"
656,33119,203,Repair and maintenance of other fabricated metal products
657,33121,135,"Repair and maintenance of engines and turbines excluding aircraft, vehicle and cycle engines"
658,33122,106,"Repair and maintenance of pumps and related equipment, fluid power equipment, valves"
659,33123,102,"Repair and maintenance of metal cutting and metal forming machine tools and accessories, power-driven hand-tools and other machine tools"
660,33124,5,Repair and maintenance of agricultural machinery and forestry and logging machinery including agricultural tractors
661,33125,27,"Repair and maintenance of mining, construction, and oil and gas field machinery; metallurgy machinery"
662,33126,9,"Repair and maintenance of food, beverage, and tobacco processing machinery"
663,33127,7,"Repair and maintenance of textile apparel, leather production machinery and papermaking machinery"
664,33129,88,"Repair and maintenance of other special purpose machinery of division 28 (weighing equipment, vending machines, cash registers, photocopy machines, calculators, typewriters etc.)"
665,33131,54,"Repair and maintenance of measuring, testing, navigating and control equipment of group 265"
666,33132,30,"Repair and maintenance of irradiation, electromedical and electro theraputic equipmemts of class 2660"
667,33133,46,Repair and maintenance of optical instruments and equipment of class 2670
668,33140,403,Repair of electrical equipment
669,33150,89,"Repair of transport equipment, except motor vehicles"
670,33190,233,Repair of other equipment
671,33200,305,Installation of industrial machinery and equipment
672,35101,8,Electric power generation by hydroelectric power plants
673,35102,9,Electric power generation by coal based thermal power plants
674,35103,3,"Electric power generation by non-coal based thermal (e.g. diesel, gas )"
675,35104,4,Electric power generation and transmission by nuclear power plants
676,35105,203,Electric power generation using solar energy
677,35106,40,Electric power generation using other non conventional sources
678,35107,26,Transmission of electric energy
679,35109,45,"Collection and distribution of electric energy to households, industrial, commercial and other users n.e.c."
680,35201,15,Manufacture of gas
681,35202,45,Disrtibution and sale of gaseous fuels through mains
682,35301,12,"Production, collection and distribution of steam and hot water for heating, power and other purposes"
683,35302,54,Production and distribution of cooled air and chilled water for cooling purposes
684,35303,10,"Production of ice, including ice for food and non-food (e.g. cooling) purposes"
685,36000,335,"Water collection, treatment and supply"
686,37001,139,The operation and maintenance of sewer systems
687,37002,72,"Collecting and transporting of human or industrial waste water or rain water by means of sewerage networks, collectors, tanks and other means of transport (sewage vehicles etc.)"
688,37003,94,"Treatment of waste water or sewer by means of physical, chemical or biological processes"
689,38110,88,Collection of non-hazardous waste
690,38120,23,Collection of hazardous waste
691,38210,58,Treatment and disposal of non-hazardous waste
692,38221,10,"Treatment and disposal of toxic live or dead animals and other, contaminated waste, disposal of used goods; incineration of hazardous waste"
693,38222,4,"Treatment, disposal and storage of radioactive nuclear waste"
694,38300,89,Materials recovery
695,39000,60,Remediation activities and other waste management services
696,41001,1404,Construction of buildings carried out on own-account basis or on a fee or contract basis
697,41002,762,"Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis"
698,41003,350,Assembly and erection of prefabricated constructions on the site
699,42101,164,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways"
700,42102,44,Construction and maintenance of railways and rail-bridges
701,42103,6,Construction and maintenance of airfield runways
702,42201,55,Construction and maintenance of power plants
703,42202,72,"Construction/erection and maintenance of power, telecommunication and transmission lines"
704,42203,52,Construction of long distance pipelines or urban pipelines
705,42204,77,"Construction and maintenance of water main and line connection, water reservoirs including irrigation system (canal)"
706,42205,78,Construction and repair of sewer systems including sewage disposal plants and pumping stations
707,42206,25,Water well drilling
708,42209,88,Construction of utility projects n.e.c.
709,42901,88,Construction and maintenance of industrial facilities such as refineries chemical plants etc.
710,42902,34,"Construction of waterways, harbours and river works, dredging of waterways"
711,42903,5,Construction of dams etc.
712,42904,13,Construction of outdoor sports facilities
713,42909,866,Other civil engineering projects n.e.c.
714,43110,54,Demolition
715,43121,3,Site preparation for mining including overburden removal and other development and preparation of mineral properties and sites except oil and gas sites
716,43122,36,"Site preparation including drilling, boring and core sampling for construction, geophysical, geological or similar purposes"
717,43123,109,"Clearing of building sites, earth moving: excavation, landfill, levelling and grading of construction sites, trench digging, rock removal, blasting etc."
