,NIC5digitId,BENGALURU (URBAN),Activity
718,43129,160,Other site preparation activities n.e.c.
719,43211,1501,Installation of electrical wiring and fittings
720,43212,523,"Installation of telecommunications wiring, computer network and cable television wiring, including fibre optic, satellite dishes"
721,43213,298,Installation of street lighting and electrical signals
722,43214,342,Installation of fire alarm system and burgler alarm system
723,43219,978,Other electrical electrical installation n.e.c.
724,43221,622,"Installation of plumbing for water, gas and sanitation equipments"
725,43222,269,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-electric solar energy collectors etc."
726,43229,645,"Other plumbing, heat and air conditioning activities n.e.c."
727,43291,147,"Installation of elevators, escalators"
728,43292,93,"Installation of thermal, sound or vibration insulation system in buildings"
729,43299,540,Other construction projects n.e.c.
730,43301,620,"Installation of doors, windows, door and window frames, fitted kitchens, of wood or other materials"
731,43302,1520,"Interior completion such as ceilings, wooden wall coverings, movable partitions etc. ; Laying of parquet and other wood floor coverings, carpets and linoleum, wallpaper; tiling with ceramic, concrete or cut stone ceramic etc."
732,43303,2150,"Interior and exterior painting, glazing, plastering and decorating of buildings or civil engineering structures"
733,43309,568,Other building completion and finishing
734,43900,1398,Other specialized construction activities
735,45101,653,"Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks, trailers and semi-trailers)"
736,45102,1174,Wholesale and retail sale of used motor vehicles
737,45200,3338,Maintenance and repair of motor vehicles
738,45300,1571,Sale of motor vehicle parts and accessories
739,45401,444,"Wholesale or retail sale of new motorcycles, mopeds, scooters and three wheelers"
740,45402,785,"Wholesale or retail sale of parts and accessories of motorcycles, mopeds, scooters and three wheelers"
741,45403,1508,"Maintenance and repair of motor cycles, mopeds, scooters and three wheelers"
742,46101,527,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live animals, food, beverages, intoxicants and textiles"
743,46102,281,"Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals"
744,46103,163,"Activities of commission agents dealing in wholesale trade in machinery & equipment, other than transport machinery"
745,46109,427,Activities of other commission agents n.e.c. (including commission agents working in emerging areas for wholesale trade
746,46201,901,Wholesale of cereals & pulses
747,46202,19,"Wholesale of un-manufactured tobacco, paan (betel leaf), opium, ganja, cinchona etc"
748,46203,256,Wholesale of live animals and poultry
749,46204,101,"Wholesale of straw, fodder & other animal/poultry feed"
750,46205,728,Wholesale of flowers and plants
751,46206,77,"Wholesale of hides, skins and leather"
752,46207,88,Wholesale of oilseed oleaginous fruits
753,46208,44,Wholesale of sugarcane
754,46209,944,Whole sale of other agriculture raw materials n.e.c.
755,46301,3520,Wholesale of fruits & vegetables
756,46302,1572,Wholesale of raw milk & dairy products
757,46303,895,"Wholesale of meat, fish & eggs"
758,46304,724,"Wholesale of confectionery, bakery products and beverages other than intoxicants"
759,46305,1439,"Wholesale of edible oils, fats, sugar and processed/manufactured spices etc."
760,46306,403,"Wholesale of tea, coffee & cocoa"
761,46307,71,Wholesale of manufactured tobacco & tobacco products
762,46308,28,Wholesale of intoxicants like wines and liquors
763,46309,1288,Wholesale of other basic/manufactured food stuffs n.e.c.
764,46411,2415,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes"
765,46412,128,Wholesale of umbrella and clothing accessories
766,46413,361,Wholesale of footwear
767,46419,1397,Wholesale of other clothing items n.e.c.
768,46491,581,"Wholesale of toiletry, perfumery and cosmetics"
769,46492,186,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware"
770,46493,396,Wholesale of furniture and fixtures
771,46494,104,"Wholesale of watches, clocks and optical goods"
772,46495,18,"Wholesale of recorded audio or video tapes, CDs and DVDs"
773,46496,613,"Wholesale of paper and other stationery items; books, magazines and newspapers"
774,46497,1073,Wholesale of pharmaceutical and medical goods
775,46498,175,Wholesale of precious metals and jewellery
776,46499,1305,"Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle rickshaw, tonga & other non-mechanised vehicles); leather goods and travel accessories; cleaning materials etc.]"
777,46511,616,Wholesale of computers and computer peripheral equipment
778,46512,192,Wholesale of software
779,46521,244,"Wholesale of electronic valves and tubes, semiconductor devices, microchips, integrated circuits and printed circuits"
780,46522,272,"Wholesale of radio, television and other consumer electronics including CD/DVD players and recorders"
781,46523,27,"Wholesale of blank audio and video tapes and diskettes, magnetic and optical disks (CDs, DVDs) and parts"
782,46524,1615,"Wholesale of telephone, mobile phone and communications equipment and parts"
783,46529,878,Wholesale of other electronic equipments and parts thereof
784,46531,41,Wholesale of tractors used in agriculture and forestry
785,46532,52,"Wholesale of ploughs, manure spreaders, seeders, harvesters, threshers"
786,46533,40,"Wholesale of milking machines, poultry-keeping machines, bee-keeping machines"
787,46539,139,Wholesale of other agriculture machinery n.e.c.
788,46591,141,"Wholesale of office machinery and equipment, except computers and computer peripheral equipment"
789,46592,108,"Wholesale of transport equipment except motor vehicles, motorcycles and bicycles"
790,46593,779,"Wholesale of electrical machinery, equipment and supplies, n.e.c."
791,46594,243,Wholesale of construction and civil engineering machinery and equipment
792,46595,131,"Wholesale of machinery and equipment for the textile, wood and metal industries etc."
793,46596,561,"Wholesale of scientific, medical and surgical machinery and equipment"
794,46599,427,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer-controlled sewing and knitting machines"
795,46610,374,"Wholesale of solid, liquid and gaseous fuels and related products"
796,46620,1069,Wholesale of metals and metal ores
797,46631,233,Wholesale of wood in the rough and products of primary processing of wood
798,46632,1269,"Wholesale of construction materials (sand, gravel etc.)"
799,46633,1252,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools"
800,46634,358,"Wholesale of paints, varnishes, and lacquers"
801,46639,860,Wholesale of other construction equipment n.e.c.
802,46691,248,"Wholesale of industrial chemicals,"
803,46692,114,Wholesale of fertilizers and agrochemical products
804,46693,385,Wholesale of plastic materials in primary forms
805,46694,116,Wholesale of rubber
806,46695,139,Wholesale of textile fibres etc.
807,46696,295,Wholesale of paper in bulk
808,46697,27,Wholesale of precious stones
809,46699,2335,Wholesale of metal and non-metal waste and scrap n.e.c.
810,46901,571,Wholesale trade via e-commerce excluding activities of commission agents
811,46909,3873,Other non-specialised wholesale trade n.e.c.
812,47110,3422,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
813,47190,5516,Other retail sale in non-specialized stores
814,47211,3181,"Retail sale of cereals and pulses, tea, coffee, spices and flour"
815,47212,3212,Retail sale of fresh or preserved fruit and vegetables
816,47213,2195,"Retail sale of meat, meat products, poultry products, fish, other seafood and products thereof"
817,47214,1869,"Retail sale of bakery products, dairy products and eggs"
818,47215,425,Retail sale of sugar confectionery and sweetmeat
819,47219,5358,Retail sale of other food products n.e.c.
820,47221,83,Retail sale of alcoholic beverages not consumed on the spot
821,47222,722,Retail sale of non-alcoholic beverages including icecream not for consumption on the premises
822,47230,67,Retail sale of tobacco products in specialized stores
823,47300,636,Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations.
824,47411,1265,Retail sale of computers and computer peripherals
825,47412,48,Retail sale of video games
826,47413,133,Retail sale of non-customized software
827,47414,795,Retail sale of telecommunication equipment
828,47420,349,Retail sale of audio and video equipment in specialized stores
829,47510,4487,Retail sale of textiles in specialized stores
830,47521,1303,"Retail sale of building material such as bricks, wood, sanitary equipment"
831,47522,1842,"Retail sale of hardware including paints, varnishes and lacquers and do - it - yourself materials and equipments"
832,47523,254,Retail sale of glass
833,47531,250,"Retail sale of carpets, rugs, curtains and net curtains"
834,47532,168,Retail sale of wallpaper and floor coverings
835,47591,838,Retail sale of household furniture
836,47592,446,"Retail sale of household utensils and cutlery, crockery, glassware, china and pottery"
837,47593,427,"Retail sale of gas stoves, cooking/kitchen appliances"
838,47594,1352,"Retail sale of refrigerators, washing machines and other electrical/electronic household goods"
839,47595,59,Retail sale of musical instruments
840,47599,1187,"Retail sale of other household appliances n.e.c. ( security systems, such as locking devices, safes, and vaults, without installation or maintenance services etc. , wooden, cork and wickerwork goods, sewing and knitting machine and other household utensils and durables n.e.c.)"
841,47611,545,Retail sale of books of all kinds
842,47612,168,Retail sale of newspapers and magazines
843,47613,2500,"Retail sale of stationery office supplies such as pens, pencils, paper etc."
844,47620,61,Retail sale of music and video recordings in specialized stores
845,47630,290,Retail sale of sporting equipment in specialized stores
846,47640,864,Retail sale of games and toys in specialized stores
847,47711,3876,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc."
848,47712,63,Retail sale of articles of fur and artificial fur
849,47713,773,Retail sale of footwear
850,47714,449,Retail sale of leather goods and travel accessories of leather and leather substitutes
851,47721,2472,"Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles"
852,47722,777,Retail sale of perfumery and cosmetic articles
853,47731,169,"Retail sale of photographic, optical and precision equipment"
854,47732,172,Retail sale of watches and clocks
855,47733,960,Retail sale of jewellery and immitation jewellery
856,47734,786,"Retail sale of flowers, plants, pet animals and pet food"
857,47735,186,"Retail sale of souvenirs, craftwork and religious articles, stamps and coins"
858,47736,170,"Retail sale of household fuel oil, bottled gas, coal and fuel wood"
859,47737,235,"Retail sale of seeds, fertilisers, pesticides, machinery equipments and hand tools"
860,47738,80,Activities of commercial art galleries
861,47739,530,"Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food products)"
862,47740,485,Retail sale of second-hand goods
863,47810,680,"Retail sale via stalls and markets of food, beverages and tobacco products"
864,47820,1093,"Retail sale via stalls and markets of textiles, clothing and footwear"
865,47890,1224,Retail sale via stalls and markets of other goods
866,47911,272,Retail sale via mail order houses
867,47912,1361,Retail sale via e-commerce
868,47990,3782,"Other retail sale not in stores, stalls or markets"
869,49110,2252,Passenger rail transport
870,49120,559,Freight rail transport
871,49211,6026,Urban or suburban passenger bus transport (excluding chartered bus)
872,49212,269,Urban or suburban tramways
873,49213,132,Urban or suburban underground or elevated rillways
874,49219,1210,Other urban or suburban passenger transport n.e.c.
875,49221,387,Long-distance bus services
876,49222,109,"Charters, excursions and other occasional coach services"
877,49223,1959,Rental of private cars with driver
878,49224,4840,Taxi operation
879,49225,282,Operation of school buses and buses for transport of employees
880,49226,514,Passenger transport by man- or animal-drawn vehicles
881,49229,1390,Other non urban passenger land transport n.e.c.
882,49231,9410,Motorised road freight transport
883,49232,1999,Non-motorised road freight transport
884,49300,10540,Transport via pipeline
885,50111,548,Sea and coastal ferry service
886,50112,270,"Sea and coastal water cruise, water taxis and other sight seeing boats"
887,50113,153,Sea and coastal long distance water transport
888,50119,224,Other sea and coastal water transport n.e.c.
889,50120,999,Sea and coastal freight water transport
890,50211,46,River ferry service
891,50212,82,"River cruise, water taxi, boat services"
892,50213,196,Long distance river water transport
893,50219,821,Other inland water transport n.e.c.
894,50220,1100,Inland freight water transport
895,51101,301,Passenger airways
896,51102,36,Helicopter services
897,51109,111,Other passenger air-transport n.e.c
898,51201,731,Freight air transport services
899,51202,38,Launching of satellites and space vehicles and space transport
900,52101,361,Warehousing of refrigerated (cold storage)
901,52102,580,Warehousing non-refrigerated
902,52109,1829,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]"
903,52211,118,Car parking including motorcycle and bicycle parking
904,52212,84,"Support service at railway stations, bus stations, bridges etc."
905,52213,33,Switching and shunting
906,52219,1900,Other land transport services n.e.c
907,52220,402,Service activities incidental to water transportation
908,52231,110,"Activities related to air transport of passengers, animals or freight"
909,52232,115,Firefighting and fire-prevention services at airports
910,52241,1083,Cargo handling incidental to land transport
911,52242,478,Cargo handling incidental to water transport
912,52243,404,Cargo handling incidental to air transport
913,52291,1099,Activities of travel agents and tour operators
914,52292,1211,Activities of shipping cargo agents
915,52293,1798,Activities of movers and packers
916,52294,891,Weighing of goods
917,53100,434,Postal activities
918,53200,2010,Courier activities
919,55101,1704,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats"
920,55102,388,"Provision of short term lodging facilities to members of a particular organisition such as govt. guest houses, company guest houses, circuit houses and similar establishments"
921,55109,712,"Provision of short stay accommodation n.e.c. (e.g. holiday homes, private guest houses etc.)"
922,55200,121,"Camping grounds, recreational vehicle parks and trailer parks"
923,55901,322,"Accommodation provided by student residences, school dormitories"
924,55902,1196,Worker hostels and boarding houses
925,56101,5133,Restaurants without bars
926,56102,7783,"Cafeterias, fast-food restaurants and other food preparation in market stalls"
927,56103,1214,"Ice cream mobile vendors, mobile food carts"
928,56104,528,"Restaurant and bar activities connected to transportation, when carried out by separate units"
929,56210,5369,Event catering
930,56291,14667,Activities of food service contractors (e.g. for transportation companies)
931,56292,5023,"Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis"
932,56301,337,Bars and Restaurants with bars
933,56302,3697,Tea/coffee shops
934,56303,3374,Fruit juice bars
935,56304,2260,Mobile beverage vendors
936,58111,1168,"Publishing of books, brochures, leaflets and similar publications, including publishing encyclopedias (including on CD-ROM)"
937,58112,88,"Publishing of atlases, maps and charts"
938,58113,107,Publishing of audio books
939,58121,100,Publishing of mailing lists and telephone directories
940,58122,50,"Publishing of other directories and compilations, such as case law, pharmaceutical compendia etc."
941,58131,245,Publishing of newspapers
942,58132,293,Publishing of journals and periodicals
943,58191,211,On-line publishing of statistics and other information
944,58199,1283,Other publishing activities (including on-line) n.e.c.
945,58201,393,Publishing of operating systems and system software
946,58202,400,Publishing of operating business and other applications
947,58203,153,Publishing of computer games for all platforms
948,59111,954,Production of motion picture
949,59112,976,Video production
950,59113,684,Production of television programmes or television commercials
951,59121,353,Post production activities of motion picture
952,59122,341,Post production activities of television programmes or television commercials
953,59123,482,Post production activities of video production
954,59131,339,Motion picture distribution
955,59132,144,"Distribution of video tapes, CD and DVDs"
956,59133,206,Distribution of television programme
957,59141,533,"Motion picture or video tape projection in cinemas, in the open air or in other projection facilities"
958,59142,130,Activities of cine-clubs
959,59201,916,Activities of sound recording in studio or elsewhere
960,59202,431,Activities of misic publishing
961,60100,103,Radio broadcasting
962,60200,682,This class includes creation
963,61101,291,"Activities of basic telecom services: telephone, telex and telegraph (includes the activities of STD/ISD booths)"
964,61102,450,Maintenance of telecom network
965,61103,456,Activities of the cable operators
966,61104,432,Activities of providing internet access by the operator of the wired infrastructure
967,61201,283,Activities of Internet access by the operator of the wireless infrastructure
968,61202,382,"Activities of maintaining and operating pageing, cellur and other tetecommunication networks"
969,61209,577,Activities of other wireless telecommunications activities
970,61301,83,Activity of Internet access by the operator of the satellite infrastructure
971,61309,140,Other satellite telecommunications activities
972,61900,2230,Other telecommunications activities
973,62011,1752,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing"
974,62012,1543,Web-page designing
975,62013,2787,Providing software support and maintenance to the clients
976,62020,2575,Computer consultancy and computer facilities management activities
977,62091,1449,Software installation
978,62092,231,Computer disaster recovery
979,62099,6145,Other information technology and computer service activities n.e.c
980,63111,583,Data processing activities including report writing
981,63112,550,Web hosting activities
982,63113,137,Providing general time-share mainframe facilities to clients
983,63114,513,Providing data entry services
984,63119,767,"Other data processing, hosting and related activities n.e.c."
985,63121,598,Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format
986,63122,790,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content"
987,63910,286,News agency activities
988,63991,350,Telephone based information services
989,63992,392,Activities of cyber café
990,63999,3347,Other information service activities n.e.c.
991,64192,55,Activities of specialized institutions granting credit for house purchases that also take deposits
992,64199,316,Other monetary intermediation services n.e.c.
993,64200,59,Activities of holding companies
994,64300,261,"Trusts, funds and other financial vehicles"
995,64910,408,Financial leasing
996,64920,290,Other credit granting
997,64990,4502,"Other financial service activities, except insurance and pension funding activities, n.e.c"
998,65110,685,Life insurance
999,65120,455,Non-life insurance
1000,65200,98,Reinsurance
1001,65300,46,Pension funding
1002,66110,666,Administration of financial markets
1003,66120,394,Security and commodity contracts brokerage
1004,66190,1203,Activities auxiliary to financial service activities n.e.c.
1005,66210,113,Risk and damage evaluation
1006,66220,672,Activities of insurance agents and brokers
1007,66290,679,Other activities auxiliary to insurance and pension funding
1008,66301,171,Management of mutual funds
1009,66302,28,Management of pension funds
1010,66309,1391,Management of other investment funds
1011,68100,4339,Real estate activities with own or leased property
1012,68200,4796,Real estate activities on a fee or contract basis
1013,69100,1211,Legal activities
1014,69201,3076,"Accounting, bookkeeping and auditing activities"
1015,69202,2728,Tax consultancy
1016,70100,354,Activities of head offices
1017,70200,5143,Management consultancy activities
1018,71100,6043,Architectural and engineering activities and related technical consultancy
1019,71200,1239,Technical testing and analysis
1020,72100,727,Research and experimental development on natural sciences and engineering
1021,72200,230,Research and experimental development on social sciences and humanities
1022,73100,3522,Advertising
1023,73200,715,Market research and public opinion polling
1024,74101,2172,"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other fashion goods as well as other personal or household goods"
1025,74102,2456,Activities of interior decorators
1026,74103,818,Services of graphic designers
1027,74109,1288,Other specialized design activities n.e.c.
1028,74201,1053,Commercial and consumer photograph production
1029,74202,498,Photographic film processing
1030,74203,74,Activities of photojournalists
1031,74204,49,Microfilming of documents
1032,74209,1789,Other photographic activities
1033,74901,696,Business brokerage activities
1034,74902,25,Patent brokerage activities
1035,74903,13,Weather forecasting activities
1036,74904,215,Security consulting
1037,74909,9344,"Other professional, scientific and technical activities n.e.c."
1038,75000,511,Veterinary activities
1039,77100,2572,Renting and leasing of motor vehicles
1040,77210,94,Renting and leasing of recreational and sports goods
1041,77220,82,Renting of video tapes and disks
1042,77291,636,"Renting of tent, furniture, pottery and glass, kitchen and tableware, utensils, household electrical and electronic equipments etc."
1043,77292,29,"Renting of books, journals and magazines"
1044,77293,121,"Renting of jewellery, musical instruments, scenery and costumes"
1045,77294,120,"Renting of textiles, wearing apparel, footwear, sleeping bag, rucksack, household goods"
1046,77299,612,Renting of other personal and household goods n.e.c.
1047,77301,301,"Renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by industries"
1048,77302,160,Renting and operational leasing of agricultural and forestry machinery and equipment without operator
1049,77303,725,Renting and operational leasing of construction and civil-engineering machinery and equipment without operator
1050,77304,176,Renting and operational leasing of office machinery and equipment without operator
1051,77305,140,Renting and operational leasing of land-transport equipment (other than motor vehicles) without drivers
1052,77306,35,Renting and operational leasing of water-transport equipment without operator
1053,77307,26,Renting and operational leasing of air transport equipment without operator
1054,77308,100,"Renting of other tangible goods with out operator (includes renting of containers, pallets, animals etc.)"
1055,77309,979,Renting and leasing of other machinery and equipment n.e.c. without operator
1056,77400,394,Leasing of nonfinancial intangible assets
1057,78100,2796,Activities of employment placement agencies
1058,78200,1677,Temporary employment agency activities
1059,78300,2603,Human resources provision and management of human resources functions
1060,79110,10264,Travel agency activities
1061,79120,3382,Tour operator activities
1062,79900,2640,Other reservation service and related activities
1063,80100,1169,Private security activities
1064,80200,968,Security systems service activities
1065,80300,191,Investigation activities
1066,81100,2716,Combined facilities support activities
1067,81210,1234,General cleaning of buildings
1068,81291,82,"Cleaning of trains buses, planes etc."
1069,81292,161,Cleaning of industrial machinery
1070,81299,1593,Other building and industrial cleaning activities
1071,81300,2585,Landscape care and maintenance service activities
1072,82110,736,Combined office administrative service activities
1073,82191,810,"Photocopying, duplicating and bluprinting services"
1074,82192,1146,"Document preparation, typing, word processing and desktop publishing sevices"
1075,82199,385,Other specialised office support services activities
1076,82200,203,Activities of call centres
1077,82300,327,Organization of conventions and trade shows
1078,82910,290,Activities of collection agencies and credit bureaus
1079,82920,570,Packaging activities
1080,82990,7530,Other business support service activities n.e.c.
1081,84121,128,Regulatory agencies relating to health
1082,84122,66,Regulatory agencies relating to education
1083,84129,96,Regulatory agencies relating to other social services n.e.c. excluding social security
1084,84130,38,Regulation of and contribution to more efficient operation of businesses
1085,84210,7,Foreign affairs
1086,84220,42,Defence activities
1087,84230,115,Public order and safety activities
1088,84300,38,Compulsory social security activities
1089,85101,605,Pre-primary education (education preceding the first level)
1090,85102,279,Primary education (education at the first level)
1091,85103,45,Provision of literacy programmes for adults at primary level
1092,85104,31,Special education for handicapped students at primary lavel
1093,85109,264,Other primary education activities n.e.c.
1094,85211,224,General school education in the first stage of the secondary level (up to X th standard) without any special subject pre-requisite
1095,85212,275,"General school education in the second stage of the secondary level (Senior/ Higher secondary) giving, in principle, access to higher education"
1096,85213,28,Special education for handicapped students at first stage or second stage of secondary level
1097,85221,431,Technical and vocational education below the level of higher education except for handicapped
1098,85222,100,Technical and vocational education for handicapped students below the level of higher education
1099,85223,89,Professional motor driving school
1100,85301,175,"Higher education in science, commerce, humanity and fine arts leading to a university degree or equivalent"
1101,85302,158,Higher education in engineering / other technical courses leading to a university degree or equivalent
1102,85303,70,Higher education in medical/bio-technology and related courses leading to a university degree or equivalent
1103,85304,78,Higher education in management courses leading to a degree or equivalent
1104,85305,34,Higher education in law leading to a degree or equivalent
1105,85306,153,Higher education in other professional/ vocational courses leading to a degree or equivalent
1106,85307,117,Higher education not leading to a degree or equivalent
1107,85410,505,Sports and recreation education
1108,85420,428,Cultural education
1109,85491,1025,Academic tutoring services
1110,85492,241,Professional examination review courses
1111,85493,24,Flying school
1112,85494,51,Motor driving school (non-professional)
1113,85499,2414,Other educational services n.e.c.
1114,85500,3615,Educational support services
1115,86100,2445,Hospital activities
1116,86201,1590,Medical practice activities
1117,86202,1134,Dental practice activities
1118,86901,612,Activities of Ayurveda practitioners
1119,86902,53,Activities of Unani practitioners
1120,86903,173,Activities of homeopaths
1121,86904,1088,"Activities of nurses, masseures, physiotherapists or other para-medical practitioners"
1122,86905,984,Activities of independent diagnostic/pathological laboratories
1123,86906,45,Activities of independent blood banks
1124,86909,2210,Other human health activities n.e.c. (including independent ambulance activities)
1125,87100,320,Nursing care facilities
1126,87200,115,"Residential care activities for mental retardation, mental health and substance abuse"
1127,87300,215,Residential care activities for the elderly and disabled
1128,87900,1428,Other residential care activities n.e.c.
1129,88100,302,Social work activities without accommodation for the elderly and disabled
1130,88900,814,Other social work activities without accommodation n.e.c.
1131,90001,743,Stage production and related activities
1132,90002,281,Operation of concert and theatre halls and other arts facilities
1133,90003,490,"Activities of sculptors, painters, cartoonists, engravers, etchers etc."
1134,90004,144,"Activities of individual writers, for all subjects including fictional writing,technical writing etc."
1135,90005,55,Activities of independent journalists
1136,90006,445,Activities of restoring of works of art such as paintings etc.
1137,90009,2543,Other creative arts and and entertainment activities
1138,91010,105,Library and archives activities
1139,91020,30,Museums activities and operation of historical sites and buildings
1140,91030,99,Botanical and zoological gardens and nature reserves activities
1141,93110,830,Operation of sports facilities
1142,93120,609,Activities of sports clubs
1143,93190,854,Other sports activities
1144,93210,52,Activities of amusement parks and theme parks
1145,93290,342,Other amusement and recreation activities n.e.c.
1146,94110,183,Activities of business and employers membership organisations
1147,94120,140,Activities of professional membership organizations
1148,94200,109,Activities of trade unions
1149,94910,160,Activities of religious organizations
1150,94920,29,Activities of political organizations
1151,94990,302,Activities of other membership organizations n.e.c.
1152,95111,2918,Repair and maintenance of computer and peripheral equipment
1153,95112,417,"Repair and maintenance of automated terminals like automatic teller machines, point-of-sale (POS) terminals, not mechanically operated"
1154,95120,1008,Repair of communication equipment
1155,95210,2562,Repair of consumer electronics
1156,95221,2274,"Repair and servicing of household appliances ( refrigerators, stoves, washing machines, clothes dryers, room air conditioners, etc. )"
1157,95222,176,"Repair and servicing of home and garden equipment such lawn mowerrs, edgers, trimmers etc."
1158,95230,126,Repair of footwear and leather goods
1159,95240,555,Repair of furniture and home furnishings
1160,95291,264,Repair of bicycles
1161,95292,228,Repair and alteration of clothing
1162,95293,103,Repair and alteration of jewellery
1163,95294,101,"Repair of watches, clocks and their parts"
1164,95295,43,Repair of musical instruments
1165,95299,1361,Repair of other personal and household goods n.e.c.
1166,96010,2897,Washing and (dry-) cleaning of textile and fur products
1167,96020,7010,Hairdressing and other beauty treatment
1168,96030,283,Funeral and related activities
1169,96091,4261,"Social activities such as escort services, marriage bureaus"
1170,96092,958,"Pet care services such as boarding, grooming and training pets etc."
1171,96093,603,"Shoe shiners, porters, valet car parkers etc."
1172,96094,490,"Coin-operated personal service machines such as photo booths, weighing machines, blood pressure checking machines etc."
1173,96095,1189,"Activities of sauna and steam baths, massage salons etc."
1174,96096,889,Astrological and spiritualists’ activities
1175,96097,524,"Activities of aaya, dhai, governess, baby sitter etc."
1176,96098,17502,"General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc."
